timestamp,timestamp_difference
0,12.7
2,14.74
4,17.96
6,14.02
8,11.74
10,19.82
12,18.06
13,13.62
15,16.28
18,13.64
19,14.06
21,16.56
23,14.28
25,15.66
27,15.2
29,19.0
31,14.44
33,12.62
34,21.22
36,24.62
38,24.04
40,35.26
42,37.2
44,40.4
46,37.64
48,29.08
49,60.94
51,87.28
53,112.8
55,136.12
57,152.54
59,126.3
61,118.24
71,192.1
73,90.68
75,78.3
76,109.88
78,119.18
80,133.64
82,119.88
84,145.42
86,114.24
88,205.84
90,89.46
92,101.82
93,117.66
95,100.96
97,172.12
99,134.44
101,87.5
103,156.68
105,145.92
107,130.76
109,99.48
111,189.16
113,118.4
114,129.34
116,47.5
118,88.4
120,101.74
122,28.28
124,89.26
126,62.64
127,140.04
129,131.88
131,117.8
133,88.2
135,105.6
137,132.64
139,98.86
141,129.08
143,131.2
145,143.6
147,164.44
148,89.24
150,127.1
152,123.76
154,114.82
156,171.34
158,80.92
160,45.96
162,126.08
164,110.34
165,102.22
167,112.84
169,136.06
171,82.4
173,124.62
175,82.3
177,83.02
179,107.98
181,110.86
183,106.4
190,199.74
192,90.84
194,120.82
196,108.9
198,208.96
200,73.52
202,148.3
204,92.68
205,90.32
207,82.62
209,96.3
211,109.84
213,107.42
215,118.94
217,122.76
219,120.84
221,103.54
222,90.16
224,91.96
226,117.94
228,128.88
230,88.0
232,141.34
234,119.1
236,106.14
237,104.18
239,101.66
241,113.34
243,128.84
245,117.68
247,102.52
249,140.02
251,79.12
253,89.74
255,116.48
257,116.78
259,51.0
261,78.12
263,138.6
265,91.28
267,160.38
269,162.46
271,157.08
272,109.72
274,104.34
276,73.7
278,147.88
280,83.78
282,115.44
284,124.4
285,79.8
287,100.8
289,158.18
291,91.44
293,103.44
295,156.82
297,124.28
299,111.64
301,120.48
302,74.0
304,99.32
311,83.48
314,152.2
316,66.76
318,161.32
320,147.84
322,95.1
324,107.98
326,93.56
328,87.14
330,158.02
331,80.04
333,151.14
335,61.38
337,108.46
339,83.46
341,158.82
343,97.36
345,150.78
346,113.8
348,123.92
350,108.78
352,133.7
354,121.4
356,83.52
358,108.84
359,71.12
362,98.8
364,112.68
366,90.08
368,87.76
370,121.86
372,71.98
374,117.56
375,89.52
377,140.9
379,129.04
381,132.28
383,79.46
385,100.92
387,61.42
389,111.7
391,70.0
392,129.28
394,104.66
396,89.56
398,86.98
400,81.08
402,90.1
404,102.66
405,71.18
407,87.5
409,137.56
411,87.08
413,94.82
415,68.06
417,51.0
419,119.36
421,115.0
423,100.0
424,85.1
426,101.84
428,65.72
430,123.78
432,77.5
434,109.38
436,84.5
438,92.5
440,92.38
442,105.3
443,50.46
445,77.26
447,88.44
449,78.12
451,88.86
453,128.06
455,93.28
457,94.5
459,90.5
461,85.36
462,87.64
464,72.26
466,72.72
468,84.5
470,82.9
472,134.3
474,48.18
475,74.34
477,70.5
479,71.5
481,80.28
483,88.54
485,109.18
487,73.2
489,59.26
491,101.6
492,103.66
494,76.32
496,71.42
498,86.36
500,66.5
502,97.64
504,65.3
506,60.92
508,118.66
510,100.44
511,111.84
513,56.14
515,69.6
517,76.78
519,85.42
521,116.0
523,94.08
525,121.98
526,68.8
528,85.84
530,99.62
532,71.44
534,60.06
536,57.76
538,76.02
540,109.16
542,57.88
544,102.24
546,116.32
548,85.76
549,91.0
551,92.74
553,81.82
555,93.86
557,91.64
559,70.58
561,59.34
563,79.82
565,48.74
566,76.52
568,93.04
570,81.5
572,124.12
574,69.68
576,82.24
578,62.86
580,84.54
582,84.88
583,61.8
585,106.3
587,85.88
589,92.26
591,92.3
593,105.54
595,86.18
597,75.88
598,92.88
600,71.12
602,77.0
604,91.12
615,79.42
616,74.56
618,56.58
620,68.92
622,103.26
624,82.48
626,72.62
628,55.78
629,63.56
631,60.66
633,54.74
635,72.82
637,68.4
639,78.06
641,95.08
643,75.98
645,57.96
647,55.52
649,68.44
651,86.3
653,80.36
654,74.18
656,78.02
658,85.9
660,73.86
662,67.32
664,81.96
666,73.38
668,80.02
669,74.84
671,86.82
673,61.92
675,59.9
677,71.8
679,71.2
681,78.26
683,56.0
685,99.98
686,66.0
688,79.26
690,65.36
692,60.32
694,62.5
696,76.18
698,63.54
699,99.04
701,64.26
703,52.6
705,81.58
707,82.3
709,87.52
711,48.3
713,57.16
715,70.34
717,67.88
718,42.92
720,63.02
722,50.12
724,64.58
733,67.9
735,61.74
737,65.3
738,73.72
740,65.16
742,39.7
744,66.16
746,59.32
748,56.26
750,54.18
752,53.34
753,59.08
755,53.54
757,51.86
759,56.22
761,56.02
763,70.48
765,55.12
767,54.3
769,39.12
771,54.44
772,41.58
774,42.22
776,52.32
778,49.76
780,48.44
782,35.06
784,50.04
786,61.82
787,60.5
793,48.7
795,57.62
